 	TP9	AF7	AF8	TP10	
-1000.00000	-2.82645	-2.80682	4.70383	0.40511
-996.09375	-2.02021	-4.09776	3.91812	0.10985
-992.18750	-0.40808	-3.12003	2.93383	0.12808
-988.28125	-2.01947	-4.67468	1.71690	-1.70941
-984.37500	-4.03373	-4.01165	-0.26404	0.54770
-980.46875	-2.42156	-3.36001	-1.44119	2.14664
-976.56250	-2.82412	-2.10448	-3.32733	0.95096
-972.65625	-2.42078	-2.18257	-3.00012	-1.98694
-968.75000	0.80305	-4.16592	-2.64441	-3.01528
-964.84375	3.22094	-0.44986	-0.32221	2.60291
-960.93750	2.81838	0.51573	1.67625	1.06788
-957.03125	3.22161	-1.74471	0.69276	1.40642
-953.12500	2.41612	-1.25639	1.13300	3.96790
-949.21875	2.41650	-0.01668	1.46807	3.32448
-945.31250	3.62566	-0.89643	2.05159	6.25182
-941.40625	-0.00031	-1.24952	1.56751	10.46323
-937.50000	1.20877	-0.19696	0.26427	11.54908
-933.59375	2.82084	-2.76194	2.84015	12.75683
-929.68750	2.01533	-3.51168	0.75597	12.07444
-925.78125	2.41858	0.69333	-1.60312	10.68803
-921.87500	6.04535	2.22645	0.65273	9.37727
-917.96875	7.25452	0.92822	-0.58266	8.00697
-914.06250	8.46364	0.95428	-1.90977	10.68170
-910.15625	10.47866	3.07507	-2.36499	11.55190
-906.25000	5.64386	2.30526	-3.62996	5.03231
-902.34375	1.21189	-0.73804	-5.49794	0.62785
-898.43750	2.82393	-0.38207	-4.66769	2.86644
-894.53125	0.80960	-1.39197	-1.03077	2.17614
-890.62500	-2.01066	-3.62942	-1.45016	0.95380
-886.71875	-0.39859	-1.29882	-3.62571	3.79074
-882.81250	0.40756	-2.08137	-4.39130	3.15066
-878.90625	-1.60680	-4.52851	-2.72219	3.37843
-875.00000	-1.20355	-2.54936	-1.37416	4.56737
-871.09375	1.61726	0.14459	-1.33699	2.84701
-867.18750	2.02051	-1.25490	-0.78452	1.72594
-863.28125	1.61784	-4.62112	-1.26314	3.24351
-859.37500	2.02104	-3.85301	-1.59432	3.89920
-855.46875	2.42416	-3.32501	-2.13527	6.17083
-851.56250	3.63324	-2.12644	-2.43073	9.98138
-847.65625	2.42471	-1.19047	-1.95656	8.10646
-843.75000	-2.81312	-3.11665	-4.17001	5.73993
-839.84375	0.81357	-1.97917	-5.31169	10.06778
-835.93750	10.88709	1.11555	-2.91224	15.44857
